카테고리,메뉴명,영문명,설명,태그,베이스,토핑,추천/기본 드레싱,곡물 구성,채소 구성,열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg),출처URL,비고
그레인볼,바베큐닭다리살 포케볼,Barbeque Chicken Thigh Poke,"촉촉하고 쫄깃한 닭다리살에 고소한 계란과 매콤달콤한 바베큐소스를 곁들인 중독성 강한 조합! 통곡물, 적채, 후리가케 등 포케 토핑으로 풍성한 맛을 더한 치밥 스타일의 메뉴",,"곡물, 채소","로스트닭다리살, 에그, 옥수수, 양파, 양파플레이크, 후리가케, 적채, 바베큐소스",크리미칠리,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",557.3,72.5,8.2,26.6,17.7,5.9,586.2,https://salady.com/menu/list_1,
그레인볼,고추장제육 포케볼,Gochujang Bulgogi Poke,"제육은 못 참지! 매콤한 고추장제육에 머쉬룸, 양파플레이크, 적채, 후리가케 등의 토핑이 어우러져 든든한 제육 비빔밥st의 포케",NEW,"곡물, 채소","고추장제육, 머쉬룸, 적채, 양파, 옥수수, 양파플레이크, 후리가케",고추장비빔,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",468.8,70.4,9.3,20.2,12.6,3.6,474.1,https://salady.com/menu/list_1,
누들볼,그라브락스 연어 파스타 누들볼,Gravlax Salmon Pasta,북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어에 향긋한 바질파스타를 곁들인 지중해풍 파스타 샐러드,LOW SUGAR,"파스타면, 채소","그라브락스 연어, 옥수수, 올리브, 양파, 바질페스토",(저당) 발사믹,,"로메인, 프릴아이스, 적채",346.2,33.3,3.6,20.0,14.4,2.1,609.9,https://salady.com/menu/list_1,
누들볼,우삼겹메밀면 누들볼,Beef Loin Buckwheat Noodles,감칠맛 있는 간장소스로 양념한 우삼겹과 고소한 메밀면 조합으로 한 층 더 풍부한 맛을 즐길 수 있는 샐러디 인기 메뉴,BEST,"메밀면, 채소","우삼겹, 적채, 양파, 견과류",오리엔탈,,"로메인, 프릴아이스, 적채",406.6,36.1,5.0,18.0,21.2,6.1,350.3,https://salady.com/menu/list_1,
누들볼,고추장제육 들기름파스타 누들볼,Gochujang Bulgogi Perilla Oil Pasta,제육은 못 참지! 매콤한 고추장제육에 풍미와 감칠맛을 더할 저당 들기름소이 드레싱이 어우러져 중독성 강한 K-제육 샐러드 파스타,NEW,"파스타면, 채소","고추장제육, 바베큐소스, 머쉬룸, 적채, 양파, 후리가케, (저당) 들기름소이",오리엔탈,,"로메인, 프릴아이스, 적채",350.7,48.2,7.5,17.5,10.5,1.8,627.8,https://salady.com/menu/list_1,
누들볼,고추장제육 간장메밀 누들볼,Gochujang Bulgogi Soy Buckwheat Noodles,"제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",NEW,"파스타면, 채소","고추장제육, 바베큐소스, 머쉬룸, 적채, 양파, 당근라페, 참기름, 청양간장 드레싱",청양간장 소스포함(*별도 드레싱 미제공),,"로메인, 프릴아이스, 적채",412.1,49.2,12.4,20.2,15.7,2.8,1612.0,https://salady.com/menu/list_1,"공식 상세 텍스트 기준 베이스가 '파스타면, 채소'로 표기됨. 메뉴명(간장메밀)과 불일치하나 원문 그대로 보존."
누들볼,소고기 비빔메밀 누들볼,Beef Bibim Buckwheat Noodles,그라운드비프와 매콤달콤한 고추장비빔 드레싱에 참기름이 어우러진 비빔국수st의 비빔메밀 누들 샐러드,,"메밀면, 채소","그라운드비프, 에그, 적채, 양파, 후리가케, 당근라페, 참기름",고추장비빔,,"로메인, 프릴아이스, 적채",398.8,32.0,4.0,23.8,19.0,5.6,354.7,https://salady.com/menu/list_1,
프로틴 박스,닭다리살 MAX 프로틴 박스,Chicken Thigh MAX Protein Box,3배 더 풍성하게 올린 촉촉하고 쫄깃한 닭다리살에 1.5배 든든한 곡물밥과 산뜻한 저당 랜치 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락,LOW SUGAR,"곡물(1.5배), 채소","로스트닭다리살x3, 당근라페, 양파, 옥수수",(저당) 랜치,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",758.7,96.6,7.7,43.2,22.3,7.4,885.9,https://salady.com/menu/list_1,
프로틴 박스,치킨 MAX 프로틴 파스타,Chicken Breast MAX Protein Pasta,3배 가득 풍성하게 올린 부드러운 시즈닝 닭가슴살에 2배 든든한 바질파스타와 상큼한 저당 레몬 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락,LOW SUGAR,"바질 파스타면(2배), 채소","시즈닝 닭가슴살x3, 칩베이컨, 당근라페, 양파, 옥수수",(저당) 레몬허브,,"로메인, 프릴아이스, 적채",707.9,66.2,6.1,55.1,23.7,6.0,697.0,https://salady.com/menu/list_1,
프로틴 박스,우삼겹 MAX 프로틴 박스,Beef Loin MAX Protein Box,3배 가득 풍성하게 올린 단짠 우삼겹에 1.5배 든든한 곡물밥과 고소한 저당 참깨소이 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락,LOW SUGAR,"곡물(1.5배), 채소","우삼겹x3, 당근라페, 양파, 옥수수",(저당) 참깨소이,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",900.7,87.6,11.5,39.4,43.7,16.3,565.4,https://salady.com/menu/list_1,
샌드위치,[프로틴]바질크림 치킨 샌드위치,[Protein]Basil Cream Chicken,쫄깃한 통밀 치아바타 속 풍미 가득한 바질크림과 촉촉한 시즈닝 닭가슴살이 어우러져 든든한 치킨 프로틴 치아바타 샌드위치,,채소,"시즈닝 닭가슴살, 토마토, 당근라페, 화이트치즈",바질페스토,,"로메인, 적채",442.8,53.6,7.1,23.9,14.2,3.1,774.2,https://salady.com/menu/view_1?idx=155&ca_id=05,
샌드위치,[프로틴]치킨 반미 샌드위치,[Protein]Chicken Banh mi,"쫄깃한 통밀 치아바타 속 촉촉한 시즈닝 닭가슴살과 상큼하고 아삭한 당근라페, 적채, 양파가 어우러진 반미 스타일의 치킨 프로틴 치아바타 샌드위치",,채소,"시즈닝 닭가슴살, 양파, 적채, 당근라페, 화이트치즈, 채소믹스, 통밀 치아바타",크리미칠리,,"로메인, 프릴아이스, 적채",484.0,60.5,11.7,22.8,16.9,3.4,853.8,https://salady.com/menu/list_1,
샌드위치,스파이시 쉬림프 샌드위치,Spicy Shrimp Sandwich,쫄깃한 치아바타 속 탱글탱글한 케이준 쉬림프와 알싸한 할라피뇨에 매콤달콤한 크리미칠리 드레싱이 어우러진 스파이시 쉬림프 치아바타 샌드위치,,채소,"케이준 쉬림프, 할라피뇨, 토마토, 슈레드치즈, 화이트치즈",크리미칠리,,"로메인, 프릴아이스, 적채",463.7,55.4,8.7,18.7,18.5,4.4,1176.4,https://salady.com/menu/list_1,
샌드위치,불고기 반미 샌드위치,Bulgogi Banh mi Sandwich,"쫄깃한 치아바타 속 단짠 불고기와 상큼하고 아삭한 당근라페, 적채, 양파가 어우러진 반미 스타일의 치아바타 샌드위치",BEST,채소,"우삼겹, 양파, 적채, 당근라페, 화이트치즈",크리미칠리,,"로메인, 프릴아이스, 적채",578.7,61.3,14.1,18.7,28.9,8.1,899.0,https://salady.com/menu/list_1,
샌드위치,BELT 시저 샌드위치,BELT Caesar Sandwich,쫄깃한 치아바타 속 짭조름한 베이컨과 부드러운 에그에 시저 드레싱의 감칠맛이 더해진 치아바타 샌드위치,,채소,"베이컨, 에그, 토마토, 슈레드치즈, 화이트치즈",시저,,"로메인, 프릴아이스, 적채",570.3,52.5,6.3,21.6,29.7,8.2,874.4,https://salady.com/menu/list_1,
샌드위치,[프로틴]프레시 잠봉 샌드위치,[Protein]Fresh Jambon,쫄깃한 통밀 치아바타 속 신선한 잠봉과 토마토에 더블 치즈 풍미가 가득한 잠봉 프로틴 치아바타 샌드위치,,채소,"잠봉, 양파, 토마토, 슈레드치즈, 화이트치즈",크리미할라피뇨,,"로메인, 프릴아이스, 적채",493.3,54.2,8.5,20.0,21.7,5.2,1135.5,https://salady.com/menu/list_1,
샌드위치,클래식 치킨 샌드위치,Classic Chicken Sandwich,"쫄깃한 통밀 치아바타 속 부드러운 시즈닝 닭가슴살과 상큼한 크랜베리, 치즈의 풍미가 어우러진 치아바타 샌드위치",BEST,채소,"시즈닝 닭가슴살, 크랜베리, 토마토, 화이트치즈",시저,,"로메인, 프릴아이스, 적채",469.0,60.8,13.3,17.3,17.8,3.4,733.8,https://salady.com/menu/list_1,
샌드위치,[프로틴]비프에그마요 샌드위치,[Protein]Beef Egg Mayo Sandwich,쫄깃한 통밀 치아바타 속 단짠 우삼겹과 고소하고 부드러운 에그마요가 어우러진 우삼겹 프로틴 치아바타 샌드위치,,*채소 미포함,"우삼겹, 슈레드치즈, 에그마요, 옥수수, 당근라페, 화이트치즈",허니머스타드,,"로메인, 프릴아이스, 적채",712.6,64.9,15.1,25.5,38.6,11.2,1047.3,https://salady.com/menu/list_1,"베이스에는 '*채소 미포함'으로 표기되지만 상세설명에는 채소 구성(로메인, 프릴아이스, 적채)이 함께 표시됨."
샌드위치,[프로틴]바질 레몬연어 샌드위치,[Protein]Basil Lemon Salmon,쫄깃한 통밀 치아바타 속 바질 풍미가 가득한 연어와 달콤한 스윗포테이토가 어우러진 연어 프로틴 치아바타 샌드위치,,채소,"그라브락스연어, 당근라페, 스윗포테이토, 옥수수, 화이트치즈",바질페스토,,"로메인, 프릴아이스, 적채",576.5,71.0,17.0,20.8,22.7,4.0,1023.0,https://salady.com/menu/list_1,
곡물랩,칠리베이컨 곡물랩,Chilli Bacon Grain Wrap,"또띠아 속 베이컨, 에그, 옥수수의 고소하고 톡톡 터지는 식감과 매콤달콤한 소스 조합이 입맛을 돋우고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치",BEST,"곡물, 채소","에그, 칩베이컨, 옥수수, 양파플레이크",크리미칠리,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",730.4,75.5,12.9,21.5,37.6,10.9,1067.1,https://salady.com/menu/view_1?idx=57&ca_id=0502,
곡물랩,고소우삼겹 곡물랩,Perilla Oil Beef Loin Grain Wrap,"또띠아 속 감칠맛과 풍미 가득한 저당 들기름소이 소스로 양념한 우삼겹과 견과류로 한 층 더 고소함을 살리고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치",LOW SUGAR,"곡물, 채소","우삼겹, 양파, 견과류, 적채",(저당) 들기름소이,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",704.7,79.1,6.5,24.0,32.5,9.3,1089.8,https://salady.com/menu/view_1?idx=58&ca_id=0502,
곡물랩,바베큐닭다리살 곡물랩,Barbecue Chicken Thigh Grain Wrap,"또띠아 속 촉촉하고 쫄깃한 닭다리살, 매콤달콤 바베큐소스로 중독성 강한 조합에, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치",,"곡물, 채소","로스트닭다리살, 적채, 옥수수, 슈레드치즈, 토마토, 바베큐소스",크리미할라피뇨,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",717.3,76.8,13.5,26.1,34.0,9.7,1288.1,https://salady.com/menu/view_1?idx=59&ca_id=0502,공식 상세페이지에는 드레싱이 '크리 할라피뇨'로 표기되어 있어 기존 공식 메뉴명 '크리미할라피뇨'로 정규화
랩,멕시칸 랩,Mexican Wrap,"또띠아 속 매콤달콤한 크리미칠리 드레싱과 그라운드비프, 나쵸 토핑이 어우러진 샐러디 스테디 랩 샌드위치",BEST,채소,"그라운드비프, 나쵸칩, 사워크림",크리미칠리,,"로메인, 프릴아이스, 적채",607.4,52.5,10.9,19.4,35.1,9.9,931.2,https://salady.com/menu/view_1?idx=53&ca_id=0501,
랩,그라브락스 연어 랩,Gravlax Salmon Wrap,북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어와 양파 등 토핑과 산뜻한 크리미할라피뇨 드레싱이 어우러진 랩 샌드위치,,채소,"그라브락스 연어, 양파, 토마토",크리미할라피뇨,,"로메인, 프릴아이스, 적채",475.4,40.0,8.9,17.6,27.6,6.1,1014.2,https://salady.com/menu/view_1?idx=132&ca_id=0501,
랩,시저치킨 랩,Caesar Chicken Wrap,"또띠아 속 부드러운 시즈닝 닭가슴살과 상큼한 크랜베리, 치즈풍미의 시저드레싱이 어우러진 랩 샌드위치",,채소,"시즈닝 닭가슴살, 크랜베리",시저,,"로메인, 프릴아이스, 적채",500.9,46.2,12.4,21.8,25.7,6.3,877.4,https://salady.com/menu/view_1?idx=54&ca_id=0501,
랩,로스트닭다리살 랩,Roast Chicken Thigh Wrap,"또띠아 속 촉촉하고 쫄깃한 닭다리살과 토마토, 할라피뇨, 사워크림 토핑이 어우러져 치킨 케밥 스타일 완성된 중독성 강한 랩 샌드위치",,채소,"로스트닭다리살, 양파, 토마토, 할라피뇨, 사워크림",크리미할라피뇨,,"로메인, 프릴아이스, 적채",549.6,46.3,10.3,19.8,31.9,9.2,1206.3,https://salady.com/menu/view_1?idx=55&ca_id=0501,
랩,에그마요 랩,Egg Mayo Wrap,"또띠아 속 고소하고 부드러운 에그마요와 톡톡 터지는 옥수수, 바삭한 나쵸가 토핑된 스낵 스타일의 랩 샌드위치",,*채소 미포함,"에그마요, 옥수수, 칩베이컨, 나쵸칩",크리미할라피뇨,,,661.6,49.7,5.3,19.4,42.8,9.8,1054.3,https://salady.com/menu/view_1?idx=91&ca_id=0501,
랩,바질치킨 랩,Basil Chicken Wrap,또띠아 속 향긋한 바질페스토와 부드러운 시즈닝 닭가슴살이 어우러진 랩 샌드위치,,채소,"시즈닝 닭가슴살, 바질페스토, 크랜베리",시저,,"로메인, 프릴아이스, 적채",523.9,44.7,12.6,24.2,26.8,6.8,932.4,https://salady.com/menu/view_1?idx=146&ca_id=0501,
랩,타코 쉬림프 랩,Taco Shrimp,"또띠아 속 맛있게 매콤한 탱글탱글 케이준 쉬림프와 바삭한 나쵸칩, 상큼한 사워크림, 신선한 채소를 가득 담아 타코 스타일로 간편하게 즐기는 랩 샌드위치",BEST,채소,"케이준 쉬림프, 양파, 할라피뇨, 토마토, 나쵸칩, 사워크림",허니머스타드,,"로메인, 프릴아이스, 적채",501.1,59.4,15.5,15.4,22.4,6.0,1123.1,https://salady.com/menu/view_1?idx=147&ca_id=0501,
랩,바질크림 잠봉 랩,Basil Cream Jambon,"또띠아 속 풍미 가득한 바질크림에 담백한 잠봉과 양파, 당근라페 토핑이 어우러진 프로틴 랩 샌드위치 (포함 드레싱: 바질페스토)",,채소,"잠봉, 당근라페, 양파, 적채, 화이트치즈",바질페스토,,"로메인, 적채",462.9,41.8,10.9,16.4,24.5,6.9,1068.9,https://salady.com/menu/view_1?idx=153&ca_id=0501,
